frequency,N,times_per_day,frequency_english
see admin notes,586,NA,NA
stat,59,NA,NA
oto,27,NA,NA
ud,10,NA,NA
as directed,3,NA,NA
see admin instructions,2,NA,NA
once prn,2683,NA,once
prn6 indef,847,NA,PRN
prntid indef,792,NA,PRN
prnhs indef,708,,PRN
nightly prn,341,1,PRN
hs prn,327,1,PRN
q6h prn,122,4,PRN
tid prn,116,3,PRN
qhs prn,110,1,PRN
q4h prn,103,6,PRN
q1hprn,64,24,PRN
oncall,38,,PRN
prnp,32,,PRN
q6hrsprn,24,4,PRN
as-dir,16,,PRN
q1h prn,12,24,PRN
prnbid indef,10,2,PRN
prn4 indef,8,4,PRN
bid prn,5,2,PRN
prnqd indef,5,1,PRN
q 4 hour prn,5,6,PRN
q8h prn,5,3,PRN
once prn x1,4,1,PRN
q2h prn,3,12,PRN
q4hprn,3,6,PRN
as needed,2,,PRN
onetimeprn,2,1,PRN
prn x999,2,NA,PRN
q4hrsprn,2,6,PRN
qhsprn,2,1,PRN
user specified,2,,PRN
bidprn,1,2,PRN
dailyprn,1,1,PRN
on call to procedure,1,NA,PRN
once as needed,1,1,PRN
prn indef,1,NA,PRN
prn x1,1,1,PRN
prn8 indef,1,3,PRN
q24h sch,1,1,PRN
q3h prn,1,8,PRN
q72h,1,NA,PRN
see admin instructions prn,1,NA,PRN
protocol,105,,protocol
tid pc,2268,3,three times a day
tid ac,9173,3,three times a day
tid meals,5968,3,three times a day
tid wc,5289,3,three times a day
tidac,2439,3,three times a day
3xdaily ac,2424,3,three times a day
tid15ac,1888,3,three times a day
bid,1906,2,twice a day
prn,2345,,PRN
.stk-med,434,,
to or,311,,
ot,117,,
amac,102,,
