drugname,n,category,group
D5% w/ 150meq Na Bicarb (ml/hr),1,dextrose-5,iv-sugar
D5%W,1,dextrose-5,iv-sugar
D5. 0.45 NS with150 mEq NaHCO3,1,dextrose-5,iv-sugar
D5.45,1,dextrose-5,iv-sugar
D5.45 NS + 20 meq KCL,1,dextrose-5,iv-sugar
D5.45 with 20 KCL,1,dextrose-5,iv-sugar
D5.45 with K (ml/hr),1,dextrose-5,iv-sugar
D5.45NSS w/ 40 meq KCL,1,dextrose-5,iv-sugar
D5.9 w/ KCL (ml/hr),1,dextrose-5,iv-sugar
D5/ 0.45%NS,1,dextrose-5,iv-sugar
D5/ 150 meQ Bicarb (ml/hr),1,dextrose-5,iv-sugar
D5/.45NS,1,dextrose-5,iv-sugar
D5/.45NSS,1,dextrose-5,iv-sugar
D5/0.2%NS w/ KCL,1,dextrose-5,iv-sugar
D5/0.45%NaCl,1,dextrose-5,iv-sugar
D5/0.45NS,1,dextrose-5,iv-sugar
D5/0.5NS,1,dextrose-5,iv-sugar
D5/NA bicarb,1,dextrose-5,iv-sugar
D5/NS/20MEQKCL,1,dextrose-5,iv-sugar
D5@ (ml/hr),1,dextrose-5,iv-sugar
D5+150meqNaHco3 ,1,dextrose-5,iv-sugar
D50.45%NS (ml/hr),1,dextrose-5,iv-sugar
D50.45NS,1,dextrose-5,iv-sugar
D50.9,1,dextrose-5,iv-sugar
D50.9%NS,1,dextrose-5,iv-sugar
D51/2,1,dextrose-5,iv-sugar
D51/2 NS/20KCL (ml/hr),1,dextrose-5,iv-sugar
D51/2NS  20KCL (ml/hr),1,dextrose-5,iv-sugar
"D51/2Ns + 20 Meq KCl 1,000 ml (ml/hr)",1,dextrose-5,iv-sugar
D51/2NS 75bicarb (ml/hr),1,dextrose-5,iv-sugar
D51/2ns with 20kcl/l,1,dextrose-5,iv-sugar
D5-3 Bicarb (ml/hr),1,dextrose-5,iv-sugar
d5LR ,1,dextrose-5,iv-sugar
D5LR w/10mEq KCl,1,dextrose-5,iv-sugar
D5LR with 10mEq potassium,1,dextrose-5,iv-sugar
d5LR+40 MEQ KCL,1,dextrose-5,iv-sugar
d5ns,1,dextrose-5,iv-sugar
D5NS + 20 mEq KCL + 10 mmol KPhos,1,dextrose-5,iv-sugar
D5NS MVI ,1,dextrose-5,iv-sugar
D5NS w/40KCL,1,dextrose-5,iv-sugar
D5NS with MVI,1,dextrose-5,iv-sugar
D5NSS w Vitamin (ml/hr),1,dextrose-5,iv-sugar
D5W 0.9NSS,1,dextrose-5,iv-sugar
D5W 1 amp Bicarb (ml/hr),1,dextrose-5,iv-sugar
D5W 1/2NS,1,dextrose-5,iv-sugar
D5W per GTube (ml/hr),1,dextrose-5,iv-sugar
D5W w/ 150 Bicarb (ml/hr),1,dextrose-5,iv-sugar
D5W w/ 150meq NaHCO3,1,dextrose-5,iv-sugar
D5W w/ 75 meq NaBicarb,1,dextrose-5,iv-sugar
D5W w/3amps Bicarb,1,dextrose-5,iv-sugar
D5W/ 0.45% NS/ 20meqK (ml/hr),1,dextrose-5,iv-sugar
d5w/ 100meq hco3 (ml/hr),1,dextrose-5,iv-sugar
D5W/ 150mEq HCO3 (ml/hr),1,dextrose-5,iv-sugar
D5W/.45% NS + 20 mEq K,1,dextrose-5,iv-sugar
D5W/.45NS + 20 meq KCL (ml/hr),1,dextrose-5,iv-sugar
D5W/150 mEq Bicard (ml/hr),1,dextrose-5,iv-sugar
D5W/40KCL/BiCarb (ml/hr),1,dextrose-5,iv-sugar
D5W/60 Kphos (ml/hr),1,dextrose-5,iv-sugar
D5W/KCL/BiCarb (ml/hr),1,dextrose-5,iv-sugar
Dextrose 5% (ml/hr),1,dextrose-5,iv-sugar
Dextrose 5%/NaCl 0.45%,1,dextrose-5,iv-sugar
Volume (mL)-dextrose 5 % and 0.45% NaCl 5-0.45 % bolus 250 mL (ml/hr),1,dextrose-5,iv-sugar
Volume (mL)-dextrose 5 % bolus 250 mL (ml/hr),1,dextrose-5,iv-sugar
Dobutamine (mcg/kg/hr),1,dobutamine,adrenergic-agent
Dobutamine (mcg/min),1,dobutamine,adrenergic-agent
Dobutamine (units/min),1,dobutamine,adrenergic-agent
dobutrex,1,dobutamine,adrenergic-agent
Dopamine (nanograms/kg/min),1,dopamine,adrenergic-agent
Tube Feed Flushes,1,enteral-water-meds,nutrition-enteral
Tube Feed,1,enteral-nonspecific-intake,nutrition-enteral
Tube Feeds ,1,enteral-nonspecific-intake,nutrition-enteral
Fibersource,1,enteral-product-intake,nutrition-enteral
Fentanyl PCA (cont) (ml/hr),1,fentanyl,opioid
fentaNYL PCA 100 ml (),1,fentanyl,opioid
Fentanyl/Bupivi Epidural,1,fentanyl,opioid
Glucagon 10 mcg Dextrose 5% 100 ml (mg/hr),1,glucagon,glucagon
HYDROmorphone,1,hydromorphone,opioid
Hydromorphone,1,hydromorphone,opioid
HYDROMORPHONE PCA (mg/hr),1,hydromorphone,opioid
Insulin (mcg/kg/hr),1,insulin,insulin
Insulin (mg/min),1,insulin,insulin
Lactated ringers,1,lactated-ringers,lactated-ringers
Volume (mL)-lactated ringers bolus 300 mL (ml/hr),1,lactated-ringers,lactated-ringers
Volume (mL)-lactated ringers bolus 750 mL (ml/hr),1,lactated-ringers,lactated-ringers
MORPHINE PCA (ml/hr),1,morphine,opiod
Narcan,1,naloxone,naloxone
Vasopressin (mg/hr),1,vasopressin,antidiuretic
vasopressin (ml/hr),1,vasopressin,antidiuretic
Vasopressin (units/kg/min),1,vasopressin,antidiuretic
Vasopressin 40 Units Sodium Chloride 0.9% 200 ml (units/min),1,vasopressin,antidiuretic
 D5 W/100meq Bicarb,1,,
 NS,1,,
 NS with MVI,1,,
.02 NS (ml/hr),1,,
.45 NSS,1,,
.45NS,1,,
.45NS w/75mEq Bicarb,1,,
.5 NS/20meq KCL (ml/hr),1,,
.9 NS,1,,
.9 NSS,1,,
.9 nss,1,,
.9NS,1,,
0.2% NS,1,,
0.2% NS w/Na HCO3,1,,
0.45% NACL,1,,
0.45% NSS,1,,
0.45% Saline w/75mEq NaHCO3,1,,
0.45% Sodium Chloride,1,,
0.45%NS,1,,
0.45NS 150 bicarb (ml/hr),1,,
0.5 NS,1,,
0.9 % NS,1,,
0.9 NS  (ml/hr),1,,
0.9% NACL,1,,
0.9% NS ,1,,
0.9% NSS Venous Sheath,1,,
0.9% Saline,1,,
0.9% Sodium Chloride NSS,1,,
0.9%NS w/20KCl,1,,
0.9%NS with ABx (ml/hr),1,,
0.9%NSS ,1,,
0.9&NS bolus (ml/hr),1,,
0.9NS w/20meq KCL,1,,
1.8% SALINE (ml/hr),1,,
1/2 NSS w/ 75mEq Sodium Bicarbonate  (ml/hr),1,,
1/2NS,1,,
1/2NS + MVI,1,,
1/2NS c 40mEq KCl (ml/hr),1,,
1/2NS w/ 20meq KCL,1,,
1/2nss w/KCl (ml/hr),1,,
1/4NS (ml/hr),1,,
1000cc D5W W/ 3 AMPS NAHCO3 (ml/hr),1,,
1L sterile H2O/NaBicarb 150 meq  (ml/hr),1,,
1L Sterile Water w/150 mEq Bicarb (ml/hr),1,,
23.4% NaCl (ml/hr),1,,
3% hypertonic,1,,
3% NSS (ml/hr),1,,
5D/NS (ml/hr),1,,
Abciximab (Reopro) 3.6 mg Sodium Chloride 0.9% 250 ml (mcg/min),1,,
Abx1 (ml/hr),1,,
Abx2 (ml/hr),1,,
acetaminophen (ml/hr),1,,
acetylcysteine  (ml/hr),1,,
Acetylcysteine 3% (load) 30000 mg Dextrose 5% 1000 ml (mg/kg/hr),1,,
Albuin 25%,1,,
Albuin 25% (ml/hr),1,,
Albumin 25%,1,,
Albumin 25% ,1,,
albumin 25%  (ml/hr),1,,
Albumin 5% 25gm/250ml  (ml/hr),1,,
Albumin Human 25% Inj 100 ml (ml/hr),1,,
albumine (ml/hr),1,,
Aletplase (),1,,
Altepase,1,,
Alteplase (mcg/hr),1,,
Alteplase(tPA)VasculrSur 10 mg Sodium Chloride 0.9% 1000 ml (mg/hr),1,,
Alteplase(tPA)VasculrSur 20 mg Sodium Chloride 0.9% 100 ml (mg/hr),1,,
AMICAR,1,,
Amicar,1,,
amicar  (mg/hr),1,,
Aminocaproic aacid (mg/kg/hr),1,,
Aminocaproic acid STD 25 g Sodium Chloride 0.9% 250 ml (Unknown),1,,
Aminophylline,1,,
Amio Bolus (ml/hr),1,,
Amiodarone (mcg/kg/min),1,,
Amiodarone Inj 450 mg in Dextrose 5% (Aviva) 250 ml (),1,,
Ancef (ml/hr),1,,
antibiotic (ml/hr),1,,
Anti-Fungal/ Abx (ml/hr),1,,
ARGATROBAN,1,,
Argatroban  (mg/hr),1,,
atb (ml/hr),1,,
Ativan,1,,
Ativan ,1,,
bactrum ,1,,
Ban Bag (ml/hr),1,,
BANANA BAG,1,,
banana bag,1,,
BBag (ml/hr),1,,
BiCarb,1,,
Bicarb (3 amps) (ml/hr),1,,
BICARB 100mEq (ml/hr),1,,
bicarb 150mEq (ml/hr),1,,
Bivalirudin (Angiomax) 200 mg Sodium Chloride 0.9% 50 ml (mg/kg/hr),1,,
Bivalirudin (Angiomax) 250 mg Sodium Chloride 0.9% 100 ml (mg/kg/hr),1,,
Bivalirudin (Angiomax) 250 mg Sodium Chloride 0.9% 50 ml (mcg/kg/hr),1,,
BLOOD PROD (ml/hr),1,,
BOLUS  (ml/hr),1,,
"bupiv .1%, fent 2mcg/ml, duramorph 40mcg/ml",1,,
Bupivacaine=Marcaine 0.125% (ml/hr),1,,
CACL RIDER (ml/hr),1,,
Calcium Carbonate,1,,
Calcium CHLORIDE MAX 2 g Sodium Chloride 0.9% 100 ml (Unknown),1,,
Calcium CHLORIDE STD 2 g Sodium Chloride 0.9% 100 ml (Unknown),1,,
"Calcium Gluconate 1,000 mg in Sodium Chloride 0.9% 100 ml ()",1,,
"Calcium Gluconate 1,000 mg in Sodium Chloride 0.9% 100 ml (ml/hr)",1,,
Calcium GLUCONATE MAX 2 g Sodium Chloride 0.9% 2600 ml (Unknown),1,,
Calcium GLUCONATE STD 1 g Sodium Chloride 0.9% 200 ml (Unknown),1,,
calcium guconate (ml/hr),1,,
cardizem,1,,
Ceftriaxone 1 Gram/Dextrose 100 ml (ml/hr),1,,
CISATRACURIUM,1,,
cisatracurium,1,,
CISATRACURIUM ,1,,
cistracurium (mg/kg/min),1,,
Cold NS (ml/hr),1,,
cycstacurium,1,,
Dexmedetomidine (mcg/kg/hr) (),1,,
Dexmedetomidine (units/min),1,,
Dexmedetomidine Inj 400 Mcg in Dextrose 5% 100 ml (mcg/min),1,,
Dexmedetomidine Inj 400 Mcg in Dextrose 5% 100 ml (ml/hr),1,,
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (mcg/kg/min),1,,
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (mcg/min),1,,
Dextran 40 (ml/hr),1,,
Dialudid PCA (mg/hr),1,,
dilaudid PCA (ml/hr),1,,
Dilaudid PCA -Infusion,1,,
Diltiazem Inj 125 mg in Dextrose 5% 100 ml (),1,,
Diluadid (mg/hr),1,,
EPIDURAL  (ml/hr),1,,
Epidural/fentanyl (ml/hr),1,,
Ertapenem 1 gm/Ns 50 ml (ml/hr),1,,
Esmolol 2500 mg/Ns 250 ml (),1,,
Esomeprazole (mcg/min),1,,
fat emulsion (ml/hr),1,,
Fenoldopam 10 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),1,,
fent epi (ml/hr),1,,
Fent. epidural (ml/hr),1,,
FFP,1,,
Fld bolus (ml/hr),1,,
Fluid bolus NS (ml/hr),1,,
"Folic Acid Inj 5 mg Multivitamins-12 Inj 20 ml Thiamine Inj 200 mg Magnesium Sulfate Inj 4 gm in Sodium Chloride 0.9% 1,000 ml ()",1,,
Folic Acid/Thiamine,1,,
Glucerna 1.5 TF,1,,
Haldol,1,,
HCO3,1,,
HESpan (ml/hr),1,,
Hetastarch (ml/hr),1,,
iced ns (ml/hr),1,,
Iron Sucrose (ml/hr),1,,
IRON SUCROSE (ml/hr),1,,
IV + Bicarb  (ml/hr),1,,
IV w/ BiCARB (ml/hr),1,,
IVBP (ml/hr),1,,
ivbp (ml/hr),1,,
iVF (ml/hr),1,,
IVF + MVI,1,,
IVF Bolus  plain (ml/hr),1,,
IVF W MVI (ml/hr),1,,
IVF with MVI,1,,
IVF WithOut Additives (ml/hr),1,,
IVF Without additives (ml/hr),1,,
IVF withOut vasoactive (ml/hr),1,,
IVF Without VasoActives (ml/hr),1,,
ivf+ MVI,1,,
ivf1 (ml/hr),1,,
IVP (ml/hr),1,,
IVPB,1,,
K PHOS,1,,
K PHOS & MAG RIDER (ml/hr),1,,
KEPPRA (mg/hr),1,,
KV) (ml/hr),1,,
LASIX,1,,
Levaquin (ml/hr),1,,
levothyroxine (mcg/kg/hr),1,,
Lidocaine (mcg/min),1,,
Lipids 20% (ml/hr),1,,
LPIDS (ml/hr),1,,
lr,1,,
LR ,1,,
LR + 40mEq K (ml/hr),1,,
LR bolus,1,,
LR w/40mEq KCL (ml/hr),1,,
LR with 40mEq KCl,1,,
mag (mg/hr),1,,
Mag Sulfate + Potassium Phosphate,1,,
Magnesium Sulfate,1,,
Magnesium Sulfate STD 1 g Sterile Water (SWFI) 50 ml  Premix (Unknown),1,,
Magnesium Sulfate STD 1 g Sterile Water (SWFI) 500 ml  Premix (Unknown),1,,
MAIN,1,,
Mannitol 20% (ml/hr),1,,
Mannitol gtt(100gm/500mL) 50 g Dextrose 5% 250 ml (Unknown),1,,
Mannitol gtt(25gms/500mL) 25 g Dextrose 5% 500 ml (Unknown),1,,
meds (ml/hr),1,,
Meropenem (ml/hr),1,,
Meropenem IV 2 gm in Sodium Chloride 0.9% 100 ml (ml/hr),1,,
Mg (mg/hr),1,,
MG RIDER (ml/hr),1,,
Mgnesium,1,,
Milronone (mcg/kg/min),1,,
miv,1,,
ms pca (mg/hr),1,,
MUCOMYST DRIP (ml/hr),1,,
N Acetylcysteine,1,,
N/S 20 KCL (ml/hr),1,,
na bicarb,1,,
NA Bicarb (ml/hr),1,,
N-Acetylcystine,1,,
NACL,1,,
NaCl (ml/hr),1,,
NaHCO3 gtt 1mEq/1ml  (ml/hr),1,,
nb bolus (ml/hr),1,,
Neosynephrine (ml/hr),1,,
neosynsprine,1,,
Nicardipine (mg/min),1,,
NiCARDipine (std) 20 mg Sodium Chloride 0.9% 200 ml (mg/hr),1,,
Nicardipine (Unknown),1,,
NIMBEX,1,,
Nitroglycerin (mg/hr),1,,
Nitroglycerin (mg/min),1,,
Nitroglycerine (mcg/kg/min) (mcg/kg/min),1,,
Nitroprusside (mcg/min),1,,
Nitroprusside (mg/kg/min),1,,
Normal Saline 0.9%,1,,
Normosol R,1,,
Novolin-R 250 Units/Ns 250 ml (ml/hr),1,,
NS + ABX,1,,
ns + abx (ml/hr),1,,
NS + MV/Thiamine/Folic acid,1,,
NS + MVI,1,,
NS 20meq K,1,,
NS 40K,1,,
NS Bolus #2 (ml/hr),1,,
NS flush (ml/hr),1,,
NS K+ (ml/hr),1,,
NS w/ abx (ml/hr),1,,
NS w/20 KCl (ml/hr),1,,
NS W/20K,1,,
NS w/MVI,1,,
NS with MV (ml/hr),1,,
NS+K (ml/hr),1,,
NS0.9%,1,,
NS1/2 + 20KCL,1,,
nsc20k,1,,
nSS (ml/hr),1,,
NSS + Abx,1,,
NSS 3%,1,,
NSS flush  (ml/hr),1,,
NSS KVO,1,,
NSS RFS,1,,
NSS w bicarb (ml/hr),1,,
"NSS w/ MVI,  thiamine 100mg, folic acid 1 mg  (ml/hr)",1,,
Octagam (ml/hr),1,,
octagam 5 %,1,,
octreotide ,1,,
Other Med 30 mmol Sodium Chloride 0.9% 510 ml SODIUM PHOSPHATE 30 MMOL SODIUM PHOSPHATE 30 MMOL (Unknown),1,,
Other meds (ml/hr),1,,
PCA Dilaudid,1,,
PCA dilaudid,1,,
PCA Dilaudid cont dose,1,,
Pitocin,1,,
plat (ml/hr),1,,
Platelets,1,,
Platelets ,1,,
Platlets (ml/hr),1,,
PLT (ml/hr),1,,
plts (ml/hr),1,,
Post TPA NSS line flush (ml/hr),1,,
Potassium 20meq IV K-rider,1,,
Potassium Acetate (ml/hr),1,,
potassium chl (ml/hr),1,,
Potassium Phosphate,1,,
POTassium PHOSphate INJ 20 mm in Dextrose 5% 250 ml (ml/hr),1,,
POTassium PHOSphate INJ 20 mm in Sodium Chloride 0.9% 250 ml (ml/hr),1,,
PRBC ,1,,
PRBC 11/13/14 (ml/hr),1,,
PRBC's,1,,
pRBC's,1,,
Precedex,1,,
precedex,1,,
Propofol (Diprivan) 1000 mg Sterile Water (SWFI) 100 ml  Premix (mcg/kg/min),1,,
Protamine 250 mg Sodium Chloride 0.9% 100 ml (mg/hr),1,,
RBC's,1,,
Repro (mcg/min),1,,
RL,1,,
Sodium bicarbonate (ml/hr),1,,
Sodium Bicarbonate mL/hr,1,,
Sodium Chloride 0.9% 250 ml (ml/hr),1,,
Soldium Bicarb (ml/hr),1,,
Sterile H2O/BiCarb (ml/hr),1,,
Sterile Water 150meq sodium bicarbonate (ml/hr),1,,
sterile water w/ 150meq NaHCO3 (ml/hr),1,,
tirofiban (mcg/kg/min),1,,
Tobramycin,1,,
tPA,1,,
tranexamic acid,1,,
uivf (ml/hr),1,,
Vanco,1,,
"Vancomycin Inj 2,000 mg in Dextrose 5% 500 ml (ml/hr)",1,,
Vecuronium ,1,,
Vecuronium (mg/kg/hr),1,,
versed,1,,
Versed,1,,
VIT BAG (ml/hr),1,,
Volume (mL) Acetylcysteine,1,,
Volume (mL) Vecuronium ,1,,
Volume (mL)-sodium chloride 0.9 % bolus 100 mL (ml/hr),1,,
Volume (mL)-sodium chloride 0.9 % bolus 125 mL (ml/hr),1,,
Volume (mL)-sodium chloride 0.9 % bolus 250 mL,1,,
"Volume (mL)-sodium chloride 0.9 % bolus 3,350 mL (ml/hr)",1,,
Volume (mL)-sodium chloride 0.9 % bolus 300 mL (ml/hr),1,,
"Volume (mL)-sodium chloride 0.9 % bolus 4,350 mL (ml/hr)",1,,
Volume (mL)-sodium chloride 0.9 % bolus 700 mL (ml/hr),1,,
Volume (mL)-sodium chloride 0.9 % bolus 750 mL,1,,
Volume-Transfuse pheresed platelets,1,,
Water flush,1,,
Water Flush,1,,
,1,,
Bolus insulin (units/hr),2,bolus-insulin,insulin
10% DEXT (ml/hr),2,dextrose-10,iv-sugar
10% DEXT/NS (ml/hr),2,dextrose-10,iv-sugar
d10,2,dextrose-10,iv-sugar
D10 0.2NSS 40kcl (ml/hr),2,dextrose-10,iv-sugar
D10W,2,dextrose-10,iv-sugar
"Dextrose 10% 1,000 ml (ml/hr)",2,dextrose-10,iv-sugar
dextrose 10% in water,2,dextrose-10,iv-sugar
D5 .45NS w/ 20KCL (ml/hr),2,dextrose-5,iv-sugar
D5 .45NS w/NaHCO3,2,dextrose-5,iv-sugar
D5 0.45% NS,2,dextrose-5,iv-sugar
D5 0.9% NaCl (ml/hr),2,dextrose-5,iv-sugar
D5 0.9NS w/20meqs KCL (ml/hr),2,dextrose-5,iv-sugar
d5 1/2 + 20 KCl,2,dextrose-5,iv-sugar
D5 1/2 20KCL,2,dextrose-5,iv-sugar
d5 1/2 ns,2,dextrose-5,iv-sugar
D5 1/2 NSS w/ 40 meq KCL (ml/hr),2,dextrose-5,iv-sugar
D5 1/2NS 150meq bicarb (ml/hr),2,dextrose-5,iv-sugar
D5 1/2NS w/MVI,2,dextrose-5,iv-sugar
D5 c 150 MEQ NaHCO3 (ml/hr),2,dextrose-5,iv-sugar
D5 c 40 K+ (ml/hr),2,dextrose-5,iv-sugar
D5 Electrolye Bag,2,dextrose-5,iv-sugar
D5 NORMAL SALINE,2,dextrose-5,iv-sugar
D5 w/ 150mEq BiCarb,2,dextrose-5,iv-sugar
D5 w/ 150meq NaHCO3 (ml/hr),2,dextrose-5,iv-sugar
D5 W/ 40K,2,dextrose-5,iv-sugar
D5 w/150meq HC03 (ml/hr),2,dextrose-5,iv-sugar
D5 with 150bicarb (ml/hr),2,dextrose-5,iv-sugar
D5.2NS (ml/hr),2,dextrose-5,iv-sugar
D5.45  (ml/hr),2,dextrose-5,iv-sugar
d5.45 with bicarb (ml/hr),2,dextrose-5,iv-sugar
D5.45/20KCL (ml/hr),2,dextrose-5,iv-sugar
D5.9 Saline (ml/hr),2,dextrose-5,iv-sugar
D5/0.45 20 KCL (ml/hr),2,dextrose-5,iv-sugar
D5/0.45%/NaCl+40mEq potassium (ml/hr),2,dextrose-5,iv-sugar
D5/NaHCO3150 (ml/hr),2,dextrose-5,iv-sugar
D5+Bicarb (ml/hr),2,dextrose-5,iv-sugar
D51/2 NS with 20 meq KCL,2,dextrose-5,iv-sugar
D51/2NS with 20K (ml/hr),2,dextrose-5,iv-sugar
D51/2NSS 20MEQKCL (ml/hr),2,dextrose-5,iv-sugar
D5NS w/ 20KCL (ml/hr),2,dextrose-5,iv-sugar
"D5NS w/ multivit, thiamine, folic acid (ml/hr)",2,dextrose-5,iv-sugar
d5nss (ml/hr),2,dextrose-5,iv-sugar
D5W 3 AMP SOD. BICARB (ml/hr),2,dextrose-5,iv-sugar
D5W w/ 150mEq sodium bicarbonate  (ml/hr),2,dextrose-5,iv-sugar
D5W w/ 40KCL,2,dextrose-5,iv-sugar
D5W w/150meq bicarb (ml/hr),2,dextrose-5,iv-sugar
D5W w/150mEq Bicarb (ml/hr),2,dextrose-5,iv-sugar
D5W W/40K,2,dextrose-5,iv-sugar
D5W w/ABX,2,dextrose-5,iv-sugar
d5w/.45%NSS + 40mEqK (ml/hr),2,dextrose-5,iv-sugar
D5W+MVI/Thiamine/FolicAcid,2,dextrose-5,iv-sugar
Dopamine (mg/hr),2,dopamine,adrenergic-agent
DOPamine STD 15 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),2,dopamine,adrenergic-agent
DOPamine STD 400 mg Dextrose 5% 500 ml  Premix (mcg/kg/min),2,dopamine,adrenergic-agent
Fibersource TF,2,enteral-product-intake,nutrition-enteral
Fentanyl PCA,2,fentanyl,opioid
fentanyl PCA (mcg/hr),2,fentanyl,opioid
glucagon (ml/hr),2,glucagon,glucagon
Glucagon 10 mg Dextrose 5% 100 ml (mg/hr),2,glucagon,glucagon
HYDROMORPHONE (mcg/hr),2,hydromorphone,opioid
HYDROMORPHONE (ml/hr),2,hydromorphone,opioid
Insulin (mcg/min),2,insulin,insulin
Insulin Scale B,2,insulin,insulin
Lactated Ringers x1L (ml/hr),2,lactated-ringers,lactated-ringers
morphine pca (ml/hr),2,morphine,opiod
Morphine pca mode (ml/hr),2,morphine,opiod
Naloxone (ml/hr),2,naloxone,naloxone
narcan,2,naloxone,naloxone
Norepinephrine (units/min),2,norepinephrine,adrenergic-agent
Vasopressin 20 Units Sodium Chloride 0.9% 250 ml (units/hr),2,vasopressin,antidiuretic
 iv+3 amps hco3  (ml/hr),2,,
 NS with 20kcl/l ,2,,
0.45 NSS,2,,
0.45 NSS w/ bicarb,2,,
0.45%NS w/ MVI,2,,
0.9 NACL (ml/hr),2,,
0.9% NACL BOLUS (ml/hr),2,,
0.9% NSS ,2,,
0.9%NS Bolus (ml/hr),2,,
0.9NSw/MVI (ml/hr),2,,
09% NS,2,,
1/2 NS 1 amp HCO3,2,,
1/2 NS w/40 K (ml/hr),2,,
1/2 NS with 20 mEq KCl (ml/hr),2,,
1/2NSS w/ 40 KCL (ml/hr),2,,
20 K+ IN d5w,2,,
3% na (ml/hr),2,,
3% saline,2,,
3%Na Cl (ml/hr),2,,
3%Nacl (ml/hr),2,,
5% albumin (ml/hr),2,,
5% ALBUMIN (ml/hr),2,,
50meq sodium bicarb D5W (ml/hr),2,,
5D/.45 (ml/hr),2,,
Abciximab (Reopro) 7.2 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),2,,
ABT,2,,
acetadote,2,,
acetylcystene (ml/hr),2,,
aGATROBAN (ml/hr),2,,
albimin (ml/hr),2,,
albumen (ml/hr),2,,
Albumin 25 G (ml/hr),2,,
Albumin 25G (ml/hr),2,,
Albumin 25G/100ml (ml/hr),2,,
albumin5% (ml/hr),2,,
Alnumin 25% (ml/hr),2,,
altephase (ml/hr),2,,
Alteplase (tPA) Stroke/PE 20 mg Sterile Water (SWFI) 100 ml (mg/hr),2,,
Alteplase (units/hr),2,,
amicar (mg/kg/hr),2,,
Amikacin Inj 700 mg in Sodium Chloride 0.9% 250 ml (ml/hr),2,,
Aminiophylline (mg/hr),2,,
AMINOPHYLLIN (mg/kg/hr),2,,
aminophylline (ml/hr),2,,
Amiodarone Bolus (mg/min),2,,
Amphotericin B  (ml/hr),2,,
angiomax (mcg/kg/hr),2,,
ANGIOMAX (ml/hr),2,,
AODA IV mL/hr (ml/hr),2,,
ascorbic acid (ml/hr),2,,
ATRACURIUM (mcg/kg/min),2,,
Bicarb,2,,
Bicarb  (ml/hr),2,,
bicarb (units/hr),2,,
bicarb 1.5amps (ml/hr),2,,
Bicarb IV (ml/hr),2,,
bivalirudin (mcg/kg/hr),2,,
bivalrudin (mcg/kg/hr),2,,
BLD PRD (ml/hr),2,,
blood,2,,
blood  (ml/hr),2,,
bolus  (ml/hr),2,,
Bumetanide (Bumex) 10 mg Sodium Chloride 0.9% 100 ml (mg/hr),2,,
BUMEX/ALBUMIN (ml/hr),2,,
calcium chloride (ml/hr),2,,
Cefazolin Sod Inj 2 gm in Dextrose 5% 50 ml (ml/hr),2,,
