cellpath,celllabel,N,category,group
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.9% with KCl 20 mEq infusion,Volume (mL)-dextrose 5 % / sodium chloride 0.9% with KCl 20 mEq infusion,419,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 20 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 20 mEq infusion",468,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 40 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 40 mEq infusion",121,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 100 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 100 mEq infusion",368,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 150 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 150 mEq infusion",412,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 50 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 50 mEq infusion",260,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.2 % sodium chloride 1,000 mL with sodium bicarbonate 100 mEq infusion","Volume (mL)-dextrose 5 % and 0.2 % sodium chloride 1,000 mL with sodium bicarbonate 100 mEq infusion",106,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.2 % sodium chloride infusion,Volume (mL)-dextrose 5 % and 0.2 % sodium chloride infusion,116,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.2% sodium chloride infusion,Volume (mL)-dextrose 5 % and 0.2% sodium chloride infusion,225,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.45 % sodium chloride with KCl 20 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.45 % sodium chloride with KCl 20 mEq/L infusion,23189,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.45 % sodium chloride with KCl 40 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.45 % sodium chloride with KCl 40 mEq/L infusion,348,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.45% NaCl infusion,Volume (mL)-dextrose 5 % and 0.45% NaCl infusion,8124,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.45% sodium chloride 1,000 mL with sodium bicarbonate 50 mEq infusion","Volume (mL)-dextrose 5 % and 0.45% sodium chloride 1,000 mL with sodium bicarbonate 50 mEq infusion",343,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.45% sodium chloride 1,000 mL with sodium bicarbonate 75 mEq infusion","Volume (mL)-dextrose 5 % and 0.45% sodium chloride 1,000 mL with sodium bicarbonate 75 mEq infusion",115,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.9 % sodium chloride with KCl 20 mEq/L,Volume (mL)-dextrose 5 % and 0.9 % sodium chloride with KCl 20 mEq/L,4481,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.9% NaCl infusion,Volume (mL)-dextrose 5 % and 0.9% NaCl infusion,9855,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % and 0.9% sodium chloride 1,000 mL with potassium chloride 40 mEq infusion","Volume (mL)-dextrose 5 % and 0.9% sodium chloride 1,000 mL with potassium chloride 40 mEq infusion",133,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % in lactated ringers infusion,Volume (mL)-dextrose 5 % in lactated ringers infusion,623,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % infusion,Volume (mL)-dextrose 5 % infusion,2311,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % solution,Volume (mL)-dextrose 5 % solution,5352,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 %-0.45 % sodium chloride infusion,Volume (mL)-dextrose 5 %-0.45 % sodium chloride infusion,4274,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 %-0.9 % sodium chloride infusion,Volume (mL)-dextrose 5 %-0.9 % sodium chloride infusion,6854,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5% with KCL 20 mEq infusion,Volume (mL)-dextrose 5% with KCL 20 mEq infusion,310,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 10 % infusion,Volume (mL)-dextrose 10 % infusion,2924,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 20 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 20 mEq infusion",105,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 40 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with potassium chloride 40 mEq infusion",681,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 150 mEq infusion","Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 150 mEq infusion",114,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.2 % NaCl infusion,Volume (mL)-dextrose 5 % and 0.2 % NaCl infusion,223,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 10 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 10 mEq/L infusion,365,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 20 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 20 mEq/L infusion,7022,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 30 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 30 mEq/L infusion,173,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 40 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.45 % NaCl with KCl 40 mEq/L infusion,1216,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.45% NaCl 1,000 mL with potassium chloride 20 mEq infusion","Volume (mL)-dextrose 5 % and 0.45% NaCl 1,000 mL with potassium chloride 20 mEq infusion",384,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.9 % NaCl with KCl 20 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.9 % NaCl with KCl 20 mEq/L infusion,2509,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.9 % NaCl with KCl 40 mEq/L infusion,Volume (mL)-dextrose 5 % and 0.9 % NaCl with KCl 40 mEq/L infusion,594,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % and 0.9% NaCl 1,000 mL with potassium chloride 20 mEq infusion","Volume (mL)-dextrose 5 % and 0.9% NaCl 1,000 mL with potassium chloride 20 mEq infusion",251,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % in lactated ringers infusion,Volume (mL)-dextrose 5 % in lactated ringers infusion,485,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % solution,Volume (mL)-dextrose 5 % solution,7122,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 % with KCl 20 mEq / L  infusion,Volume (mL)-dextrose 5 % with KCl 20 mEq / L  infusion,767,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 %-0.45 % sodium chloride infusion,Volume (mL)-dextrose 5 %-0.45 % sodium chloride infusion,10144,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-dextrose 5 %-0.9 % sodium chloride infusion,Volume (mL)-dextrose 5 %-0.9 % sodium chloride infusion,6708,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-levofloxacin (LEVAQUIN) in dextrose 5% premix IVPB 500 mg,Volume (mL)-levofloxacin (LEVAQUIN) in dextrose 5% premix IVPB 500 mg,229,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-levofloxacin (LEVAQUIN) in dextrose 5% premix IVPB 750 mg,Volume (mL)-levofloxacin (LEVAQUIN) in dextrose 5% premix IVPB 750 mg,564,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (ml) Heparin-heparin 25,000 units in dextrose 500 mL infusion","Volume (ml) Heparin-heparin 25,000 units in dextrose 500 mL infusion",7350,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-azithromycin (ZITHROMAX) 500 mg in dextrose 5 % 250 mL IVPB,Volume (mL)-azithromycin (ZITHROMAX) 500 mg in dextrose 5 % 250 mL IVPB,499,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-aztreonam (AZACTAM) 1 g in dextrose 5 % 50 mL IVPB,Volume (mL)-aztreonam (AZACTAM) 1 g in dextrose 5 % 50 mL IVPB,344,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-aztreonam (AZACTAM) 2 g in dextrose 5 % 50 mL IVPB,Volume (mL)-aztreonam (AZACTAM) 2 g in dextrose 5 % 50 mL IVPB,144,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-ceFEPIme (MAXIPIME) 1 g in dextrose 5 % 50 mL IVPB,Volume (mL)-ceFEPIme (MAXIPIME) 1 g in dextrose 5 % 50 mL IVPB,1314,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-ceFEPIme (MAXIPIME) 2 g in dextrose 5 % 50 mL IVPB,Volume (mL)-ceFEPIme (MAXIPIME) 2 g in dextrose 5 % 50 mL IVPB,485,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-cefTAZidime (FORTAZ) 1 g in dextrose 5 % 50 mL IVPB,Volume (mL)-cefTAZidime (FORTAZ) 1 g in dextrose 5 % 50 mL IVPB,288,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-cefTAZidime (FORTAZ) 2 g in dextrose 5 % 50 mL IVPB,Volume (mL)-cefTAZidime (FORTAZ) 2 g in dextrose 5 % 50 mL IVPB,247,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-cefTRIAXone (ROCEPHIN) 1 g in dextrose 5 % 50 mL IVPB,Volume (mL)-cefTRIAXone (ROCEPHIN) 1 g in dextrose 5 % 50 mL IVPB,1242,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-cefTRIAXone (ROCEPHIN) 2 g in dextrose 5 % 50 mL IVPB,Volume (mL)-cefTRIAXone (ROCEPHIN) 2 g in dextrose 5 % 50 mL IVPB,447,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-cefTRIAXone (ROCEPHIN) 2 g in sodium chloride 0.9 % 100 mL IVPB,Volume (mL)-cefTRIAXone (ROCEPHIN) 2 g in sodium chloride 0.9 % 100 mL IVPB,827,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-cefUROXime (ZINACEF) 1.5 g in dextrose 5 % 50 mL IVPB,Volume (mL)-cefUROXime (ZINACEF) 1.5 g in dextrose 5 % 50 mL IVPB,1057,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-doxycycline (VIBRAMYCIN) 100 mg in dextrose 5 % 250 mL IVPB,Volume (mL)-doxycycline (VIBRAMYCIN) 100 mg in dextrose 5 % 250 mL IVPB,150,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-furosemide (LASIX) 120 mg in dextrose 5 % 50 mL IVPB,Volume (mL)-furosemide (LASIX) 120 mg in dextrose 5 % 50 mL IVPB,148,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-furosemide (LASIX) 160 mg in dextrose 5 % 50 mL IVPB,Volume (mL)-furosemide (LASIX) 160 mg in dextrose 5 % 50 mL IVPB,259,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-magnesium sulfate in 5 % dextrose IVPB 1 g,Volume (mL)-magnesium sulfate in 5 % dextrose IVPB 1 g,1304,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-magnesium sulfate in dextrose premix 2 g,Volume (mL)-magnesium sulfate in dextrose premix 2 g,854,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-penicillin G potassium 2.5 Million Units in dextrose 5 % 100 mL IVPB,Volume (mL)-penicillin G potassium 2.5 Million Units in dextrose 5 % 100 mL IVPB,123,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-potassium phosphate 10 mmol in dextrose 5 % 250 mL infusion,Volume (mL)-potassium phosphate 10 mmol in dextrose 5 % 250 mL infusion,124,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-potassium phosphate 20 mmol in dextrose 5 % 500 mL infusion,Volume (mL)-potassium phosphate 20 mmol in dextrose 5 % 500 mL infusion,165,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-potassium phosphate 30 mmol in dextrose 5 % 500 mL infusion,Volume (mL)-potassium phosphate 30 mmol in dextrose 5 % 500 mL infusion,278,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium bicarbonate 100 mEq in dextrose 5 % 1,000 mL infusion","Volume (mL)-sodium bicarbonate 100 mEq in dextrose 5 % 1,000 mL infusion",477,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium bicarbonate 150 mEq in dextrose 5 % 1,000 mL infusion","Volume (mL)-sodium bicarbonate 150 mEq in dextrose 5 % 1,000 mL infusion",4537,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium bicarbonate 50 mEq in dextrose 5 % 1,000 mL infusion","Volume (mL)-sodium bicarbonate 50 mEq in dextrose 5 % 1,000 mL infusion",106,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium bicarbonate 75 mEq in dextrose 5 % 1,000 mL infusion","Volume (mL)-sodium bicarbonate 75 mEq in dextrose 5 % 1,000 mL infusion",100,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium phosphate 10 mmol in dextrose 5 % 250 mL infusion,Volume (mL)-sodium phosphate 10 mmol in dextrose 5 % 250 mL infusion,136,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium phosphate 20 mmol in dextrose 5 % 250 mL infusion,Volume (mL)-sodium phosphate 20 mmol in dextrose 5 % 250 mL infusion,133,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium phosphate 20 mmol in dextrose 5 % 250 mL IVPB,Volume (mL)-sodium phosphate 20 mmol in dextrose 5 % 250 mL IVPB,139,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-sodium phosphate 30 mmol in dextrose 5 % 250 mL infusion,Volume (mL)-sodium phosphate 30 mmol in dextrose 5 % 250 mL infusion,113,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-valproate (DEPACON) 500 mg in dextrose 5 % 50 mL IVPB,Volume (mL)-valproate (DEPACON) 500 mg in dextrose 5 % 50 mL IVPB,314,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-vancomycin (VANCOCIN) 1,250 mg in dextrose 5 % 250 mL IVPB","Volume (mL)-vancomycin (VANCOCIN) 1,250 mg in dextrose 5 % 250 mL IVPB",1283,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-vancomycin (VANCOCIN) 1,500 mg in dextrose 5 % 250 mL IVPB","Volume (mL)-vancomycin (VANCOCIN) 1,500 mg in dextrose 5 % 250 mL IVPB",1384,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-vancomycin (VANCOCIN) 1,750 mg in dextrose 5 % 500 mL IVPB","Volume (mL)-vancomycin (VANCOCIN) 1,750 mg in dextrose 5 % 500 mL IVPB",447,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-vancomycin (VANCOCIN) 750 mg in dextrose 5 % 250 mL IVPB,Volume (mL)-vancomycin (VANCOCIN) 750 mg in dextrose 5 % 250 mL IVPB,509,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-vancomycin in dextrose premix 1 g,Volume (mL)-vancomycin in dextrose premix 1 g,1238,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL)-vancomycin in dextrose premix 1,000 mg","Volume (mL)-vancomycin in dextrose premix 1,000 mg",779,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Diprivan IV,Diprivan IV,205,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|DOBUTamine,DOBUTamine,2629,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Dobutamine,Dobutamine,333,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|dobutamine,dobutamine,130,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|DOBUTAMINE,DOBUTAMINE,207,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Dobutamine (NS)-IN,Dobutamine (NS)-IN,455,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Dobutamine-IN,Dobutamine-IN,480,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DOBUTAMINE,DOBUTAMINE,348,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Dobutamine,Dobutamine,335,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DOBUTAMINE ,DOBUTAMINE ,125,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DOButamine (ml):,DOButamine (ml):,342,dobutamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Dopamine,Dopamine,508,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|DOPamine,DOPamine,2974,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|DOPAMINE,DOPAMINE,259,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|dopamine,dopamine,225,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Dopamine,Dopamine,467,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DOPAMINE,DOPAMINE,734,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DOPamine (ml):,DOPamine (ml):,1004,dopamine,adrenergic-agent
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)| nutren 1.5, nutren 1.5,173,enteral-nonspecific-intake,nutrition-enteral
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Enteral Formula Volume/Bolus Amt (mL),Enteral Formula Volume/Bolus Amt (mL),79227,enteral-nonspecific-intake,nutrition-enteral
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Enteral Tube Intake,Enteral Tube Intake,850,enteral-nonspecific-intake,nutrition-enteral
