treatmentstring,n,category,group
gastrointestinal|consultations|Gastroenterology consultation,16640,,
renal|electrolyte correction|electrolyte administration|potassium,16413,,
cardiovascular|vascular disorders|VTE prophylaxis|low molecular weight heparin|enoxaparin,16095,,
neurologic|seizure therapy|anticonvulsant|levetiracetam,15938,,
general|support services|occupational therapy consult,15684,,
pulmonary|medications|bronchodilator|ipratropium,15417,,
endocrine|glucose metabolism|insulin|subcutaneous dose of regular insulin,15005,insulin,insulin
gastrointestinal|medications|stress ulcer prophylaxis|pantoprazole|IV,14939,,
neurologic|consultations|Neurosurgery consultation,14541,,
pulmonary|medications|antibacterials,14502,,
neurologic|pain / agitation / altered mentation|sedative agent|lorazepam,14250,,
gastrointestinal|medications|laxatives|doss (Colace),13980,,
cardiovascular|intravenous fluid|normal saline administration|aggressive volume resuscitation (>250 mls/hr),13437,,
infectious diseases|cultures / immuno-assays|cultures|sputum,13219,,
cardiovascular|shock|vasopressors|phenylephrine (Neosynephrine),13189,,
pulmonary|medications|bronchodilator|nebulized,13136,,
gastrointestinal|nutrition|enteral feeds|oral feeds,13100,oral-intake,nutrition-oral
neurologic|pain / agitation / altered mentation|sedative agent|propofol,13076,,
surgery|tubes and catheters|foley catheter,13028,,
renal|electrolyte correction|electrolyte administration|magnesium,12848,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|atorvastatin,12769,,
cardiovascular|ventricular dysfunction|intravenous diuretic|IV furosemide,12529,,
cardiovascular|arrhythmias|antiarrhythmics|class IV antiarrhythmic|diltiazem,12260,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%),11963,,
neurologic|pain / agitation / altered mentation|analgesics|continuous parenteral analgesics,11564,,
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube|insertion,11411,,
neurologic|pain / agitation / altered mentation|sedative agent,11409,,
pulmonary|ventilation and oxygenation|mechanical ventilation|assist controlled,11265,,
cardiovascular|vascular disorders|VTE prophylaxis,11132,,
cardiovascular|shock|vasopressors|vasopressin,11082,,
neurologic|procedures / diagnostics|MRI - head,11069,,
pulmonary|medications|glucocorticoid administration,10924,,
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube,10924,,
infectious diseases|medications|therapeutic antibacterials|quinolone|levofloxacin,10799,,
infectious diseases|medications|therapeutic antibacterials|third generation cephalosporin|ceftriaxone,10676,,
renal|medications|bicarbonate|sodium bicarbonate,10501,,
surgery|tubes and catheters|chest tube,10416,,
surgery|analgesics /sedatives/ nmbs|analgesics,10325,,
neurologic|pain / agitation / altered mentation|physical restraints,10285,,
renal|electrolyte correction|electrolyte administration|intravenous,9785,,
cardiovascular|consultations|Cardiac surgery consultation,9760,,
pulmonary|vascular disorders|VTE prophylaxis|compression boots,9686,,
cardiovascular|hypertension|beta blocker|metoprolol,9680,,
general|support services|social work consult,9462,,
renal|medications|intravenous diuretic|IV furosemide,9427,,
gastrointestinal|exploratory surgery|exploratory laparotomy,9365,,
cardiovascular|shock|vasopressors,9335,,
infectious diseases|procedures|vascular catheter placement|central venous,9241,,
pulmonary|medications|sedative|propofol,9158,,
cardiovascular|non-operative procedures|diagnostic ultrasound of heart,9148,,
endocrine|thyroid disorder|thyroid hormone|levothyroxine (T4),9043,,
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube removal,8760,,
neurologic|pain / agitation / altered mentation|sedative agent|midazolam,8714,,
pulmonary|medications|analgesics,8470,,
pulmonary|consultations|Pulmonary medicine consultation,8462,,
cardiovascular|hypertension|vasodilating agent - IV|hydralazine,8346,,
endocrine|glucose metabolism|insulin|subcutaneous dose of longer-acting insulin prepara,7821,insulin,insulin
"gastrointestinal|radiology, diagnostic and procedures|CT scan|abdomen",7781,,
gastrointestinal|consultations|Surgery consultation,7696,,
pulmonary|radiologic procedures / bronchoscopy|CT scan,7572,,
infectious diseases|medications|therapeutic antibacterials|fourth generation cephalosporin|cefepime,7514,,
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy,7449,,
endocrine|glucose metabolism|glucose,7399,,
"gastrointestinal|medications|laxatives|bisacodyl (Dulcolax, Fleet)",7390,,
pulmonary|ventilation and oxygenation|mechanical ventilation|tidal volume 6-10 ml/kg,7370,,
surgery|wounds / temperature|wound care,7336,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy,7291,,
cardiovascular|hypertension|vasodilating agent - IV|nicardipine,7215,,
neurologic|pain / agitation / altered mentation|sedative agent|dexmedetomidine,7135,,
neurologic|procedures / diagnostics|head CT scan|without contrast,7008,,
pulmonary|medications|glucocorticoid administration|parenteral,6999,,
infectious diseases|medications|therapeutic antibacterials|metronidazole,6969,,
cardiovascular|arrhythmias|electrolyte administration|potassium,6756,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|5-10 cm H2O,6724,,
surgery|analgesics /sedatives/ nmbs|analgesics|narcotic analgesic,6652,,
pulmonary|vascular disorders|VTE prophylaxis|compression stockings,6614,,
pulmonary|medications|sedative,6594,,
endocrine|electrolyte correction|administration of electrolytes|potassium,6552,,
gastrointestinal|medications|antiemetic,6528,,
cardiovascular|myocardial ischemia / infarction|antiplatelet agent|aggregation inhibitors|clopidogrel,6520,,
cardiovascular|hypertension|vasodilating agent - IV|labetalol,6434,,
pulmonary|medications|analgesics|narcotic analgesic,6376,,
cardiovascular|non-operative procedures|cardiac angiography,6322,,
pulmonary|ventilation and oxygenation|non-invasive ventilation|face mask,6313,,
pulmonary|ventilation and oxygenation|mechanical ventilation|volume controlled,6192,,
"gastrointestinal|radiology, diagnostic and procedures|CT scan|pelvis",6137,,
cardiovascular|cardiac surgery|CABG,6127,,
cardiovascular|arrhythmias|digoxin,6089,,
infectious diseases|medications|therapeutic antibacterials|empiric antibacterial coverage,5767,,
cardiovascular|arrhythmias|electrolyte administration|magnesium,5766,,
cardiovascular|intravenous fluid|colloid administration|albumin,5715,,
cardiovascular|hypertension|ACE inhibitor|lisinopril,5695,,
pulmonary|medications|antibacterials|vancomycin,5688,,
endocrine|electrolyte correction|administration of electrolytes,5660,,
endocrine|electrolyte correction|administration of electrolytes|magnesium,5597,,
renal|dialysis|C V V H D,5563,,
cardiovascular|myocardial ischemia / infarction|beta blocker|metoprolol,5527,,
surgery|consultations|Surgery consultation,5526,,
"gastrointestinal|medications|laxatives|sennoside (Ex-lax, Senekot)",5498,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy,5453,,
gastrointestinal|intravenous fluid administration|normal saline administration,5444,,
cardiovascular|hypertension|clonidine,5416,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|40-50%,5370,,
gastrointestinal|medications|stress ulcer treatment|pantoprazole|IV,5297,,
cardiovascular|ventricular dysfunction|intravenous diuretic,5217,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|conventional heparin therapy|intravenous,5148,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent,5115,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube,5113,,
renal|electrolyte correction|electrolyte administration|calcium,5031,,
cardiovascular|arrhythmias|beta blocker|metoprolol,5014,,
cardiovascular|intravenous fluid|normal saline administration|moderate volume resuscitation (150-250 mls/hr),4970,,
neurologic|seizure therapy|anticonvulsant,4967,,
neurologic|procedures / diagnostics|EEG,4957,,
cardiovascular|myocardial ischemia / infarction|nitroglycerin,4950,,
cardiovascular|shock|administration of saline solution,4948,,
cardiovascular|vascular disorders|VTE prophylaxis|conventional heparin therapy,4925,,
pulmonary|medications|analgesics|continuous parenteral analgesics,4863,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|>90%,4860,,
cardiovascular|shock|vasopressors|dopamine  5-15 micrograms/kg/min,4822,,
surgery|tubes and catheters|surgical drains,4765,,
surgery|analgesics /sedatives/ nmbs|analgesics|bolus parenteral analgesics,4754,,
endocrine|thyroid disorder|thyroid hormone,4753,,
oncology|consultations|oncology consultation,4714,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube|with suction,4620,,
cardiovascular|intravenous fluid|Lactated Ringer's administration,4613,,
burns/trauma|consultations|Trauma surgery consultation,4607,,
hematology|coagulation and platelets|vitamin K,4605,,
surgery|tubes and catheters|nasogastric tube,4599,,
surgery|wounds / temperature|antipyretics|acetaminophen,4575,,
"gastrointestinal|radiology, diagnostic and procedures|CT scan",4546,,
renal|dialysis|hemodialysis|for chronic renal failure,4526,,
infectious diseases|medications|prophylactic antibacterials,4491,,
cardiovascular|non-operative procedures|cardiac angiography|with stent placement,4490,,
cardiovascular|intravenous fluid|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,4490,,
gastrointestinal|nutrition|parenteral feeds|TPN,4424,parenteral-intake,nutrition-parenteral
pulmonary|medications|bronchodilator|combination beta-agonist/anticholinergic,4364,,
infectious diseases|medications|therapeutic antibacterials|carbapenem|meropenem,4342,,
pulmonary|medications|sedative|midazolam,4305,,
gastrointestinal|medications|hormonal therapy (for varices)|octreotide,4267,,
renal|medications|bicarbonate,4236,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|reduce FIO2 as tolerated,4164,,
pulmonary|medications|bronchodilator|inhaled,4162,,
gastrointestinal|medications|stress ulcer prophylaxis|pantoprazole|oral,4158,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|performed during current admission for ventilatory support,4147,,
pulmonary|medications|antibacterials|penicillins|piperacillin/tazobactam,4143,,
hematology|coagulation and platelets|blood product administration|fresh frozen plasma,4133,,
infectious diseases|medications|therapeutic antibacterials|macrolide|azithromycin,4132,,
cardiovascular|hypertension|beta blocker,4050,,
cardiovascular|non-operative procedures|pulmonary artery catheter placement,4008,,
cardiovascular|myocardial ischemia / infarction|antiplatelet agent,3946,,
gastrointestinal|nutrition|enteral feeds,3934,enteral-nonspecific-intake,nutrition-enteral
cardiovascular|myocardial ischemia / infarction|beta blocker,3911,,
general|quality measures|pneumococcal vaccine,3893,,
neurologic|ICH/ cerebral infarct|antihypertensives|nicardipine,3827,,
general|quality measures|palliative care consultation,3783,,
endocrine|electrolyte correction|administration of electrolytes|intravenous,3738,,
cardiovascular|vascular disorders|anticoagulant administration|conventional heparin therapy|intravenous,3727,,
neurologic|neuromyopathy therapy|monitor vital capacities for deterioration,3710,,
gastrointestinal|nutrition|enteral feeds|enteral formula,3709,enteral-nonspecific-intake,nutrition-enteral
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic,3696,,
cardiovascular|hypertension|calcium channel blocker,3694,,
general|support services|discharge planning consult,3683,,
general|quality measures|influenza vaccine,3665,,
gastrointestinal|medications|lactulose,3632,,
cardiovascular|myocardial ischemia / infarction|nitroglycerin|intravenous,3628,,
hematology|red blood cell disorders|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,3615,,
cardiovascular|non-operative procedures|cardiac angiography|left heart,3612,,
gastrointestinal|medications|stress ulcer treatment|pantoprazole,3603,,
gastrointestinal|medications|antiemetic|anticholinergic|diphenhydramine,3603,,
pulmonary|medications|bronchodilator|beta-agonist,3565,,
pulmonary|medications|antibacterials|quinolone|levofloxacin,3555,,
cardiovascular|cardiac surgery|valve replacement or repair,3549,,
surgery|infection|prophylactic antibacterials,3547,,
neurologic|ICH/ cerebral infarct|antiplatelet agents|aspirin,3546,,
cardiovascular|cardiac surgery|CABG|routine,3538,,
gastrointestinal|medications|stress ulcer prophylaxis|esomeprazole,3521,,
endocrine|glucose metabolism|glucose|D50,3497,,
neurologic|seizure therapy|anticonvulsant|gabapentin,3479,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|simvastatin,3456,,
surgery|intravenous fluids / electrolytes|normal saline administration,3427,,
cardiovascular|non-operative procedures|implantation of heart pacemaker|temporary,3418,,
hematology|consultations|Hematology consultation,3408,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|25-30%,3407,,
surgery|wounds / temperature|wound care|dressing change,3403,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|face mask,3402,,
cardiovascular|hypertension|alpha/beta blocker|labetalol,3400,,
cardiovascular|hypertension|alpha/beta blocker|carvedilol,3393,,
gastrointestinal|medications|stress ulcer prophylaxis|omeprazole,3391,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|reduce FIO2 as tolerated,3380,,
gastrointestinal|nutrition|feeding tube|nasogastric,3372,enteral-nonspecific-intake,nutrition-enteral
infectious diseases|medications|antifungal therapy|fluconazole,3362,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor,3312,,
cardiovascular|non-operative procedures|intraaortic balloon pump,3309,,
cardiovascular|consultations|Vascular surgery consultation,3308,,
neurologic|therapy for controlling cerebral perfusion pressure|hypothermia,3299,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|50-60%,3295,,
cardiovascular|arrhythmias|antiarrhythmics,3288,,
gastrointestinal|medications|laxatives,3273,,
burns/trauma|consultations|Orthopedics consultation,3268,,
cardiovascular|vascular disorders|VTE prophylaxis|low molecular weight heparin,3249,,
pulmonary|vascular disorders|VTE prophylaxis|low molecular weight heparin|enoxaparin,3241,,
cardiovascular|intravenous fluid|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,3238,,
infectious diseases|procedures|vascular catheter placement|arterial,3229,,
renal|procedures/radiology|renal ultrasound,3144,,
neurologic|consultations|Psychiatry consultation,3126,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|30-40%,3068,,
surgery|pulmonary therapies|mechanical ventilation,3063,,
gastrointestinal|medications|antiemetic|metoclopramide,3059,,
pulmonary|vascular disorders|VTE prophylaxis,3041,,
renal|dialysis|hemodialysis|for acute renal failure,3034,,
cardiovascular|arrhythmias|calcium channel blocker|diltiazem,3028,,
pulmonary|vascular disorders|VTE prophylaxis|conventional heparin therapy|subcutaneous,2992,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration,2947,,
gastrointestinal|medications|antiemetic|promethazine,2947,,
cardiovascular|ventricular dysfunction|vasodilator|nicardipine,2944,,
hematology|red blood cell disorders|blood product administration|packed red blood cells,2941,,
renal|intravenous fluid|Lactated Ringer's administration,2933,,
cardiovascular|arrhythmias|electrolyte administration,2918,,
cardiovascular|arrhythmias|beta blocker,2905,,
neurologic|procedures / diagnostics|angiogram,2890,,
pulmonary|medications|glucocorticoid administration|inhaled,2866,,
neurologic|pain / agitation / altered mentation|sedative agent|haloperidol,2851,,
endocrine|adrenal disorders|glucocorticoids|hydrocortisone,2841,,
infectious diseases|medications|therapeutic antibacterials|first generation cephalosporin|cefazolin,2836,,
cardiovascular|myocardial ischemia / infarction|alpha/beta blocker|carvedilol,2831,,
renal|medications|intravenous diuretic,2829,,
neurologic|therapy for controlling cerebral perfusion pressure|intracranial/cerebral perfusion pressure monitoring|CSF drainage via ventriculostomy,2794,,
cardiovascular|ventricular dysfunction|inotropic agent|milrinone,2793,,
pulmonary|ventilation and oxygenation|mechanical ventilation|pressure controlled,2754,,
renal|consultations|Urology consultation,2738,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|low molecular weight heparin|enoxaparin,2724,,
neurologic|ICH/ cerebral infarct|antihypertensives|labetalol,2708,,
cardiovascular|cardiac surgery|valve replacement or repair|routine,2695,,
neurologic|pain / agitation / altered mentation|narcotic antagonist|naloxone (Narcan),2694,,
neurologic|pain / agitation / altered mentation|analgesics|PCA,2665,,
surgery|exploratory surgery|exploratory laparotomy,2647,,
neurologic|ICH/ cerebral infarct|thrombolytics|alteplase,2629,,
surgery|analgesics /sedatives/ nmbs|analgesics|oral analgesics,2617,,
infectious diseases|cultures / immuno-assays|C. difficile toxin,2598,,
cardiovascular|ventricular dysfunction|inotropic agent|dobutamine,2596,,
gastrointestinal|nutrition|feeding tube,2591,enteral-nonspecific-intake,nutrition-enteral
cardiovascular|myocardial ischemia / infarction|analgesics|narcotic analgesic,2580,,
endocrine|adrenal disorders|glucocorticoids|methylprednisolone,2576,,
neurologic|pain / agitation / altered mentation|anti-psychotic agent,2554,,
neurologic|seizure therapy|anticonvulsant|lorazepam,2550,,
pulmonary|ventilation and oxygenation|physiotherapy of chest,2546,,
hematology|coagulation and platelets|blood product administration|platelet concentrate,2517,,
pulmonary|medications|analgesics|bolus parenteral analgesics,2504,,
neurologic|ICH/ cerebral infarct|antihypertensives|hydralazine,2474,,
pulmonary|medications|antibacterials|third generation cephalosporin|ceftriaxone,2460,,
renal|electrolyte correction|electrolyte administration|phosphate,2456,,
infectious diseases|cultures / immuno-assays|cultures|blood|peripheral,2451,,
cardiovascular|vascular disorders|non-invasive testing for DVT,2446,,
neurologic|therapy for controlling cerebral perfusion pressure|hypertonic saline administration,2442,,
surgery|infection|prophylactic antibacterials|for surgery,2426,,
neurologic|seizure therapy|anticonvulsant|phenytoin,2421,,
cardiovascular|shock|vasopressors|epinephrine > 0.1 micrograms/kg/min,2410,,
infectious diseases|procedures|vascular catheter placement,2394,,
cardiovascular|shock|vasopressors|epinephrine <= 0.1 micrograms/kg/min,2384,,
pulmonary|medications|nicotine patch,2383,,
endocrine|glucose metabolism|oral hypoglycemic administration,2336,,
cardiovascular|arrhythmias|antiarrhythmics|class II antiarrhythmic|metoprolol,2315,,
cardiovascular|shock|inotropic agent|dobutamine,2313,,
pulmonary|ventilation and oxygenation|mechanical ventilation|pressure support,2296,,
renal|dialysis|insertion of venous catheter for hemodialysis,2292,,
infectious diseases|procedures|vascular catheter placement|peripheral venous,2291,,
gastrointestinal|nutrition|enteral feeds|nutritional supplement,2282,oral-intake,nutrition-oral
neurologic|pain / agitation / altered mentation|anti-psychotic agent|haldol,2279,,
renal|intravenous fluid|normal saline administration|fluid bolus (250-1000mls),2277,,
pulmonary|surgery / incision and drainage of thorax|insertion of thoracostomy tube,2272,,
cardiovascular|intravenous fluid|blood product administration|packed red blood cells,2267,,
"gastrointestinal|radiology, diagnostic and procedures|ultrasonography|abdomen",2251,,
renal|intravenous fluid|colloid administration|albumin,2214,,
neurologic|therapy for controlling cerebral perfusion pressure|antihypertensive drug|nicardipine,2213,,
cardiovascular|non-operative procedures|external pacemaker,2212,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|lisinopril,2207,,
pulmonary|ventilation and oxygenation|ventilator weaning|active,2202,,
surgery|analgesics /sedatives/ nmbs|sedative agent,2196,,
surgery|tubes and catheters|surgical drains|Jackson-Pratt,2189,,
toxicology|drug overdose|drug levels,2177,,
cardiovascular|myocardial ischemia / infarction|analgesics,2175,,
gastrointestinal|medications|prokinetic agent|metoclopramide,2149,,
endocrine|consultations|Endocrinology consultation,2131,,
pulmonary|ventilation and oxygenation|mechanical ventilation|synchronized intermittent,2131,,
gastrointestinal|endoscopy/gastric instrumentation|feeding tube|PEG,2130,,
neurologic|seizure therapy|EEG monitoring,2122,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with bronchial alveolar lavage,2120,,
gastrointestinal|medications|antibiotics,2118,,
neurologic|pain / agitation / altered mentation|antidepressant,2115,,
cardiovascular|arrhythmias|anticoagulant administration|conventional heparin therapy|intravenous,2110,,
infectious diseases|medications|antifungal therapy,2110,,
hematology|coagulation and platelets|blood product administration|packed red blood cells,2109,,
cardiovascular|myocardial ischemia / infarction|nitroglycerin|sublingual,2099,,
neurologic|ICH/ cerebral infarct|antihypertensives,2096,,
neurologic|consultations|Neuroradiology consultation,2072,,
pulmonary|medications|sedative|dexmedetomidine,2066,,
hematology|coagulation and platelets|antifibrinolytics|Amicar (aminocaproic acid),2065,,
cardiovascular|non-operative procedures|diagnostic ultrasound of heart|transesophageal echocardiography,2060,,
cardiovascular|intravenous fluid|blood product administration|fresh frozen plasma,2060,,
pulmonary|consultations|Thoracic surgery consultation,2016,,
renal|electrolyte correction|treatment of hyperkalemia|kayexalate,2010,,
cardiovascular|arrhythmias|electrolyte administration|intravenous,1993,,
neurologic|neuromyopathy therapy|systemic glucocorticoid|dexamethasone,1991,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|pravastatin,1990,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|conventional heparin therapy,1979,,
neurologic|procedures / diagnostics|lumbar puncture,1969,,
endocrine|thyroid disorder|thyroid hormone|oral,1961,,
neurologic|pain / agitation / altered mentation|sedative agent|diazepam,1957,,
pulmonary|ventilation and oxygenation|mechanical ventilation|non-invasive ventilation,1948,,
cardiovascular|shock|inotropic agent|norepinephrine > 0.1 micrograms/kg/min,1940,,
surgery|consultations|Medicine consultation,1935,,
renal|electrolyte correction|electrolyte administration|oral,1928,,
gastrointestinal|medications|analgesics,1920,,
neurologic|procedures / diagnostics|intracranial/cerebral perfusion pressure monitoring|ventriculostomy,1914,,
gastrointestinal|medications|stress ulcer prophylaxis|lansoprazole,1912,,
pulmonary|medications|antibacterials|macrolide|azithromycin,1907,,
gastrointestinal|nutrition|feeding tube|oral gastric,1895,enteral-nonspecific-intake,nutrition-enteral
cardiovascular|ventricular dysfunction|oral diuretic|po furosemide,1893,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube|insertion,1890,,
cardiovascular|intravenous fluid|hypotonic fluid administration|D5 half-normal saline,1887,,
cardiovascular|vascular surgery|aneurysm resection / repair,1883,,
hematology|red blood cell disorders|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,1882,,
surgery|glucose control|insulin|continuous infusion,1882,insulin,insulin
renal|electrolyte correction|treatment of hyperkalemia|insulin / glucose,1880,insulin,insulin/dextrose
cardiovascular|myocardial ischemia / infarction|analgesics|bolus parenteral analgesics,1879,,
gastrointestinal|medications|stress ulcer treatment,1868,,
endocrine|electrolyte correction|administration of electrolytes|oral,1863,,
renal|medications|intravenous diuretic|bumetanide,1860,,
cardiovascular|shock|administration of saline solution|>250 cc/hr,1813,,
infectious diseases|medications|antiviral therapy|acyclovir,1781,,
cardiovascular|hypertension|vasodilating agent - IV,1781,,
hematology|red blood cell disorders|blood product administration,1769,,
pulmonary|radiologic procedures / bronchoscopy|reintubation,1766,,
cardiovascular|ventricular dysfunction|intravenous diuretic|IV diuretic - continuous infusion,1751,,
endocrine|intravenous fluid administration|normal saline administration,1733,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|10-15 cm H2O,1731,,
surgery|infection|therapeutic antibacterials,1731,,
infectious diseases|cultures / immuno-assays|cultures|stool,1723,,
gastrointestinal|intravenous fluid administration|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,1717,,
surgery|tubes and catheters|nasogastric tube|with suction,1708,,
surgery|intravenous fluids / electrolytes|Lactated Ringer's administration,1707,,
gastrointestinal|nutrition|feeding tube|PEG,1705,enteral-nonspecific-intake,nutrition-enteral
renal|intravenous fluid|heparin lock IV fluids,1705,,
infectious diseases|medications|antiviral therapy,1697,,
neurologic|procedures / diagnostics|MRI - spine,1690,,
pulmonary|surgery / incision and drainage of thorax|thoracentesis|therapeutic,1675,,
gastrointestinal|medications|analgesics|narcotic analgesic,1658,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|face mask,1651,,
neurologic|therapy for controlling cerebral perfusion pressure|mannitol,1650,,
gastrointestinal|medications|laxatives|milk of magnesia,1645,,
hematology|coagulation and platelets|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,1639,,
cardiovascular|arrhythmias|anticoagulant administration|coumadin,1630,,
cardiovascular|shock|inotropic agent|milrinone,1620,,
pulmonary|vascular disorders|VTE prophylaxis|low molecular weight heparin,1617,,
pulmonary|radiologic procedures / bronchoscopy|CT scan|with contrast,1614,,
gastrointestinal|endoscopy/gastric instrumentation|feeding tube|oral gastric,1613,,
gastrointestinal|intravenous fluid administration|blood product administration|packed red blood cells,1612,,
surgery|GI therapies|stress ulcer prophylaxis,1602,,
cardiovascular|non-operative procedures|cardiac angiography|with stent placement|drug-eluting,1601,,
surgery|glucose control|insulin,1568,insulin,insulin
gastrointestinal|intravenous fluid administration|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,1552,,
renal|dialysis|C V V H,1550,,
renal|dialysis|hemodialysis|emergent,1548,,
neurologic|ICH/ cerebral infarct|nimodipine,1529,,
hematology|red blood cell disorders|blood product administration|fresh frozen plasma,1500,,
neurologic|neuromyopathy therapy|systemic glucocorticoid|methylprednisolone,1486,,
cardiovascular|vascular disorders|IVC filter,1484,,
